thinkBack: Stock quote and option quote for SNDK on 11/1/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
69.495,-.365,"4,089,574",69.65,70.28,69.08

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (1)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.96,.04,-.04,.00,.00,3.53,39.09%,96.16%,3.84%,7.64%,0,0,3.495,.03,3.45,3.60,NOV1 13,66,0,.02,-.02,.02,-.02,.00,.00,.01,33.02%,1.79%,98.21%,3.56%,4,697,0,.01
.95,.05,-.05,.01,.00,3.04,36.48%,94.73%,5.27%,10.49%,0,0,2.995,.04,2.97,3.10,NOV1 13,66.5,0,.02,-.02,.03,-.02,.00,.00,.01,28.87%,2.01%,97.99%,4.01%,0,213,0,.01
.93,.08,-.06,.01,.00,2.55,33.77%,92.66%,7.34%,14.60%,0,5,2.495,.055,2.47,2.63,NOV1 13,67,.01,.03,-.04,.06,-.03,.00,.00,.02,27.54%,3.72%,96.28%,7.41%,0,403,0,.02
.91,.11,-.06,.01,.00,2.06,29.66%,90.60%,9.40%,18.71%,90,"1,423",1.995,.065,1.99,2.13,NOV1 13,67.5,.02,.05,-.06,.09,-.04,.01,.00,.04,25.69%,6.38%,93.62%,12.72%,6,410,0,.035
.87,.16,-.07,.01,.00,1.58,25.90%,86.99%,13.01%,25.90%,0,9,1.495,.085,1.52,1.64,NOV1 13,68,.04,.07,-.10,.15,-.05,.01,.00,.06,22.92%,10.13%,89.87%,20.18%,62,"1,134",0,.055
.80,.23,-.08,.01,.00,1.13,23.32%,79.62%,20.38%,40.59%,3,102,.995,.135,1.08,1.18,NOV1 13,68.5,.10,.13,-.18,.24,-.07,.01,.00,.12,21.96%,18.94%,81.06%,37.73%,28,292,0,.115
.67,.32,-.10,.02,.00,.74,21.98%,66.72%,33.28%,66.24%,36,281,.495,.245,.70,.78,NOV1 13,69,.21,.25,-.32,.33,-.09,.02,.00,.23,21.22%,32.70%,67.30%,65.10%,203,912,0,.23
.50,.37,-.11,.02,.00,.43,21.06%,49.54%,50.46%,99.63%,123,130,0,.43,.40,.46,NOV1 13,69.5,.39,.44,-.50,.39,-.09,.02,.00,.41,20.13%,50.45%,49.55%,99.61%,36,254,.005,.41
.32,.33,-.10,.02,.00,.23,20.94%,31.77%,68.23%,63.82%,"1,614",464,0,.225,.21,.24,NOV1 13,70,.66,.75,-.69,.35,-.08,.02,.00,.71,19.63%,69.31%,30.69%,61.63%,62,255,.505,.20
.18,.24,-.07,.01,.00,.11,21.03%,17.63%,82.37%,35.39%,"1,425","3,027",0,.105,.09,.12,NOV1 13,70.5,1.03,1.13,-.84,.24,-.06,.01,.00,1.08,18.80%,85.04%,14.96%,30.01%,0,54,1.005,.075
