thinkBack: Stock quote and option quote for SNDK on 11/2/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
68.97,-.525,"5,902,772",69.52,69.67,68.32

Theo parameters
Theo date,Theo stock price,Theo volatility
11/3/13,+.00,+0.00%

NOV1 13  (0)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.00,3.47,--,100.00%,0.00%,,0,0,3.47,-.045,3.35,3.50,NOV1 13,65.5,0,.02,-.02,.03,-.04,.00,.00,.01,45.32%,1.84%,98.16%,3.57%,10,221,0,.01
1.00,.00,.00,.00,.00,2.97,--,100.00%,0.00%,,0,0,2.97,-.04,2.87,2.99,NOV1 13,66,0,.02,-.02,.03,-.04,.00,.00,.01,39.37%,2.08%,97.92%,4.02%,30,697,0,.01
1.00,.00,.00,.00,.00,2.47,--,100.00%,0.00%,,0,0,2.47,-.03,2.38,2.50,NOV1 13,66.5,0,.02,-.02,.05,-.04,.00,.00,.01,33.32%,2.40%,97.60%,4.61%,9,213,0,.01
1.00,.00,.00,.00,.00,1.97,--,100.00%,0.00%,,5,5,1.97,-.03,1.88,2.00,NOV1 13,67,0,.02,-.03,.06,-.03,.00,.00,.01,27.14%,2.85%,97.15%,5.42%,20,403,0,.01
1.00,.00,.00,.00,.00,1.47,--,100.00%,0.00%,,7,"1,460",1.47,-.03,1.38,1.50,NOV1 13,67.5,0,.02,-.03,.10,-.03,.00,.00,.01,20.78%,3.54%,96.46%,6.64%,6,409,0,.01
1.00,.00,.00,.00,.00,.97,--,100.00%,0.00%,,1,9,.97,-.045,.86,.99,NOV1 13,68,0,.02,-.05,.19,-.03,.00,.00,.01,14.15%,4.84%,95.16%,8.83%,94,"1,125",0,.01
1.00,.00,.00,.00,.00,.47,--,100.00%,0.00%,,95,103,.47,-.025,.39,.50,NOV1 13,68.5,0,.02,-.09,.63,-.03,.01,.00,.01,7.09%,8.93%,91.07%,14.95%,266,266,0,.01
.31,3.13,.00,.01,.00,.03,4.84%,18.38%,81.62%,73.75%,197,266,0,.025,.01,.04,NOV1 13,69,.07,.13,-1.00,7.00,1.03,-10.30,.00,.03,0.19%,100.00%,0.00%,0.00%,"1,140","1,007",.03,.07
.06,.29,-.02,.00,.00,.01,11.42%,5.56%,94.44%,13.04%,60,149,0,.01,0,.02,NOV1 13,69.5,.52,.63,-1.00,.00,-.13,.00,.00,.53,0.19%,100.00%,0.00%,0.00%,46,277,.53,.045
.04,.13,-.03,.00,.00,.01,18.03%,3.83%,96.17%,8.38%,37,"1,929",0,.01,0,.02,NOV1 13,70,1.01,1.12,-1.00,.00,-.13,.00,.00,1.16,0.19%,100.00%,0.00%,0.00%,264,233,1.03,.035
